username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;imagelinks
Malmoistas1910;2014-10-21 22:21;0;1;"@tonyernstesq fan glömde ta badselfie , du får lära mig hur man gör: https:// twitter.com/malmoistas1910 /status/524602064283111424 …";;@tonyernstesq;;"524603874204979200";https://twitter.com/Malmoistas1910/status/524603874204979200;https://pbs.twimg.com/media/B0fCxrcCEAMTsNK.jpg 
LIPSappRock;2014-10-21 17:28;0;0;"http:// ift.tt/1Fw6ADb #HardRockCafe#badselfie #ohwell #notthebest#rockmusic#grittyvoice #hessocute#hesperfect #... pic.twitter.com/OXmMDXdd0P";;;#HardRockCafe #badselfie #ohwell #notthebest #rockmusic #grittyvoice #hessocute #hesperfect #;"524530116010201088";https://twitter.com/LIPSappRock/status/524530116010201088;https://pbs.twimg.com/media/B0eBXHxIAAArgKM.jpg 
willyjuanka23;2014-10-20 09:39;0;6;"Thanks @pjkmusic #badselfie pic.twitter.com/wTBBlRbLTf";;@pjkmusic;#badselfie;"524049642707619840";https://twitter.com/willyjuanka23/status/524049642707619840;https://pbs.twimg.com/media/B0XMXfLCAAAcMag.jpg 
MonztaGurl;2014-10-20 07:39;0;1;"Yep I'm bored #bored and this is a very bad selfie XD #badselfie #badselfies pic.twitter.com/hOdvqZ5xKy";;;#bored #badselfie #badselfies;"524019425062551552";https://twitter.com/MonztaGurl/status/524019425062551552;https://pbs.twimg.com/media/B0Ww4XYIAAEPZ7C.jpg 
embo78;2014-10-18 21:30;0;2;"Had great time volunteering @banburyparkrun today. Tad excited by hi-viz tabard so took a selfie #fail #badselfie pic.twitter.com/Pjqiu9jeAC";;@banburyparkrun;#fail #badselfie;"523504014357712896";https://twitter.com/embo78/status/523504014357712896;https://pbs.twimg.com/media/B0PcHw2IMAACK4N.jpg 
LIPSappOldies;2014-10-18 06:03;0;2;"That #hair tho lol #latetbt #haircut #hairdye #bored #badselfie #selfie #emo #metal #kik #kikme #emokik #metalkik ... pic.twitter.com/7Kn7CgwsZc";;;#hair #latetbt #haircut #hairdye #bored #badselfie #selfie #emo #metal #kik #kikme #emokik #metalkik;"523270689646993408";https://twitter.com/LIPSappOldies/status/523270689646993408;https://pbs.twimg.com/media/B0MH62qIIAADwBH.jpg 
its_notjack;2014-10-18 02:41;0;0;"I liked When @_owenmacg steals ur phone #badselfie by oligrimes02 on Instagram! pic.twitter.com/0yRRm3JedB";;@_owenmacg;#badselfie;"523219752890925057";https://twitter.com/its_notjack/status/523219752890925057;https://pbs.twimg.com/media/B0LZl8uIAAETm_m.jpg 
TSOProdMgr;2014-10-18 02:27;0;0;"We are now a political rhetoric free zone. Time for free ice cream and beer. #AdvancePoll #TOpoli #BadSelfie . pic.twitter.com/676dMycm0v";Toronto, Ontario;;#AdvancePoll #TOpoli #BadSelfie;"523216322927558656";https://twitter.com/TSOProdMgr/status/523216322927558656;https://pbs.twimg.com/media/B0LWeBIIUAIlIqo.jpg 
PopcornCandi;2014-10-16 19:12;0;2;"@IAmSamW @GrantHinds @SamsungMobileSA I see your #smartselfie and I raise you a #badselfie with an iPhone #TakeNOTE pic.twitter.com/X729TvjocN";;@IAmSamW @GrantHinds @SamsungMobileSA;#smartselfie #badselfie #TakeNOTE;"522744362984546304";https://twitter.com/PopcornCandi/status/522744362984546304;https://pbs.twimg.com/media/B0EpOnSIMAAEqyY.jpg 
differentgirlcx;2014-10-16 06:38;0;0;"I'm okay...self conscious about myself a lot! If you don't know there you go. Plus hood hair tonight cx #badselfie pic.twitter.com/iYZpE8eTXg";;;#badselfie;"522554623564206080";https://twitter.com/differentgirlcx/status/522554623564206080;https://pbs.twimg.com/media/B0B8qPSIQAAmXHj.jpg 
omistweets;2014-10-14 01:21;0;1;"Look at what my delightful, charming little brother sent me today #badselfie #wrongun pic.twitter.com/2VfnnLL9a4";;;#badselfie #wrongun;"521750106996211712";https://twitter.com/omistweets/status/521750106996211712;https://pbs.twimg.com/media/Bz2g9OwIQAEQOkZ.jpg 
SweetMelissa89;2014-10-13 00:31;0;0;"A nicer one but my hair looks horrible. #sistertime #badselfie @JaceFaceInSpace pic.twitter.com/izRGiKl4J1";;@JaceFaceInSpace;#sistertime #badselfie;"521375027590340609";https://twitter.com/SweetMelissa89/status/521375027590340609;https://pbs.twimg.com/media/BzxL0l7IYAA3OJH.jpg 
SaluteToShay;2014-10-12 07:09;0;27;"#badselfie but heey pic.twitter.com/p8QqSy6Cc8";;;#badselfie;"521112903706214401";https://twitter.com/SaluteToShay/status/521112903706214401;https://pbs.twimg.com/media/BztdargCYAAhce4.jpg 
R5foreternity;2014-10-10 03:02;0;1;"@jessica89xoxo @officialR5 ok and ikr same the only person I met was Paisley see #BadSelfie pic.twitter.com/9nRj6bVFgy";;@jessica89xoxo @officialR5;#BadSelfie;"520325897988366337";https://twitter.com/R5foreternity/status/520325897988366337;https://pbs.twimg.com/media/BziRpX5IgAE3Saz.jpg 
Frosbytt3nOps;2014-10-09 02:55;0;0;"Nothin to do, boredem took over So I took this! #BadSelfie pic.twitter.com/8YjqIrhElr";;;#BadSelfie;"519961685298532352";https://twitter.com/Frosbytt3nOps/status/519961685298532352;https://pbs.twimg.com/media/BzdGZdIIYAAdvLp.jpg 
